country_1,country_2,collaboration_count
CN,US,5963
GB,US,4503
CA,US,3513
DE,US,2970
AU,US,2250
IT,US,2195
FR,US,1798
KR,US,1762
JP,US,1701
NL,US,1687
AU,GB,1655
DE,GB,1606
ES,US,1527
IN,US,1423
GB,IT,1397
CH,US,1264
CA,GB,1214
GB,NL,1161
BR,US,1157
CN,GB,1079
FR,GB,1047
CH,DE,998
ES,GB,971
DE,IT,964
DE,NL,912
SE,US,904
DE,FR,899
ES,IT,880
FR,IT,873
CN,DE,799
AU,CN,749
DK,US,727
CH,GB,726
AU,CA,682
DE,ES,673
CH,IT,652
CA,DE,644
CA,CN,622
GB,SE,617
BE,US,612
ES,FR,599
CN,TW,592
IL,US,589
IT,NL,582
AU,DE,571
CA,FR,570
AT,DE,564
CN,KR,562
TW,US,523
CH,FR,512
CN,JP,508
DK,GB,497
BR,PT,484
AT,US,484
SG,US,464
BE,GB,462
FR,NL,453
CA,IT,440
DE,SE,438
AU,NL,433
GB,IN,431
CA,NL,423
CN,SG,416
GB,JP,412
ES,NL,412
BE,NL,405
TR,US,401
NO,US,385
DE,DK,384
CN,IT,380
PL,US,378
CA,ES,374
CN,NL,370
BE,FR,368
BE,IT,365
AU,IT,355
BR,GB,355
BR,CA,355
BE,DE,354
CH,NL,349
CN,FR,342
CA,CH,338
IE,US,337
GB,IE,334
EG,SA,329
IT,SE,324
AT,GB,323
PT,US,323
MX,US,317
IR,US,309
GB,GR,306
AU,FR,305
NL,SE,303
EG,US,301
GB,NO,301
RU,US,300
AU,ES,297
GR,US,295
ES,PT,293
FI,US,293
DE,JP,292
BR,IT,288
CH,ES,283
BR,ES,276
AT,IT,276
CN,ES,267
GB,PT,267
AU,CH,259
DK,SE,257
BR,DE,255
DK,NL,251
CA,JP,243
US,ZA,241
NZ,US,240
GB,SG,240
CA,IN,232
ES,SE,232
DE,PL,230
BE,ES,229
IT,PL,226
IN,SA,225
FR,SE,222
CN,SE,222
AU,SE,221
AU,NZ,220
AU,DK,220
SA,US,216
CH,CN,213
CN,IN,212
DK,IT,211
TH,US,211
FI,SE,205
JP,KR,205
DE,NO,204
AT,CH,204
CA,SE,203
DK,ES,202
CZ,US,202
GB,KR,201
AU,JP,199
AU,IN,198
FI,GB,198
FR,JP,198
GR,IT,197
PK,US,196
PK,SA,195
DE,PT,193
NO,SE,192
GB,ZA,189
CL,ES,188
AR,US,186
DK,FR,185
BR,FR,184
DE,IL,183
AU,SG,181
AU,BR,180
CL,US,180
DE,GR,179
GB,TR,177
DE,FI,177
GB,PL,176
NL,NO,176
AT,FR,175
CA,KR,174
GB,NZ,174
IT,JP,174
CA,DK,171
IN,IT,170
IT,PT,169
CO,US,169
AT,NL,169
BE,CA,168
IT,NO,160
IN,KR,159
FR,PT,156
ES,JP,155
CN,DK,155
AU,BE,154
DE,IN,152
ES,MX,148
BE,CN,148
JP,NL,147
BE,CH,146
DE,RU,146
DK,NO,144
IT,TR,142
ES,PL,139
CN,PK,138
CZ,DE,135
DE,KR,134
